Autor,Hora,Fecha,Texto
CEOmabely,21:9,2019-11-12,RT @IPParaguay: Billetaje Electrónico disponible desde hoy para personas con discapacidad visualhttps://t.co/K6TebNZFbG https://t.co/cokL…
silviacardozotv,20:45,2019-11-12,RT @PedroDBritos: Hoy es un día muy especial para el Sistema de Billetaje Electrónico! Iniciamos el censo a los Discapacitados no videntes…
OviedoFidel,20:30,2019-11-12,RT @IPParaguay: Billetaje Electrónico disponible desde hoy para personas con discapacidad visualhttps://t.co/K6TebNZFbG https://t.co/cokL…
PacoParra14,20:14,2019-11-12,RT @javierpanza: Ley de pasaje gratuito para personas ciegas y un acompañante está vigente. Hoy, reciben su tarjeta para el billetaje elect…
CFedericovera,19:49,2019-11-12,RT @senadispy: 60 personas se registraron en primer día de apertura de solicitudes para Billetaje Electrónico para personas con discapacida…
IPParaguay,18:49,2019-11-12,Senadis inició registro para el acceso al billetaje electrónico de personas con discapacidad visual.… https://t.co/n6gGJ4XISx
BrahimHaidar,18:44,2019-11-12,RT @IPParaguay: Billetaje Electrónico disponible desde hoy para personas con discapacidad visualhttps://t.co/K6TebNZFbG https://t.co/cokL…
PedroDBritos,18:28,2019-11-12,RT @IPParaguay: Billetaje Electrónico disponible desde hoy para personas con discapacidad visualhttps://t.co/K6TebNZFbG https://t.co/cokL…
Rocio_La_Negra,18:24,2019-11-12,RT @PedroDBritos: Hoy es un día muy especial para el Sistema de Billetaje Electrónico! Iniciamos el censo a los Discapacitados no videntes…
anamararojas1,18:21,2019-11-12,RT @javierpanza: Ley de pasaje gratuito para personas ciegas y un acompañante está vigente. Hoy, reciben su tarjeta para el billetaje elect…
Norma06A,18:3,2019-11-12,RT @javierpanza: Ley de pasaje gratuito para personas ciegas y un acompañante está vigente. Hoy, reciben su tarjeta para el billetaje elect…
RdnPY,17:45,2019-11-12,La Senadis ya se encuentra entregando las tarjetas del billetaje electrónico a personas con discapacidad visual. Co… https://t.co/7ZfSDxZKy9
pabloamarillapy,17:43,2019-11-12,RT @PedroDBritos: Hoy es un día muy especial para el Sistema de Billetaje Electrónico! Iniciamos el censo a los Discapacitados no videntes…
ridanruiz,17:40,2019-11-12,RT @PedroDBritos: Hoy es un día muy especial para el Sistema de Billetaje Electrónico! Iniciamos el censo a los Discapacitados no videntes…
senadispy,17:38,2019-11-12,tarjetas del nuevo sistema de Billetaje Electrónico.En la apertura oficial estuvieron presentes el Viceministro de… https://t.co/fF54rDCkSx
senadispy,17:38,2019-11-12,60 personas se registraron en primer día de apertura de solicitudes para Billetaje Electrónico para personas con di… https://t.co/N9AmTn7tVM
AlfredMerino,17:32,2019-11-12,RT @PedroDBritos: Hoy es un día muy especial para el Sistema de Billetaje Electrónico! Iniciamos el censo a los Discapacitados no videntes…
BrahimHaidar,17:19,2019-11-12,RT @PedroDBritos: Hoy es un día muy especial para el Sistema de Billetaje Electrónico! Iniciamos el censo a los Discapacitados no videntes…
tpestrubot,17:10,2019-11-12,ahora si llegamos a 100 billetaje electronico
tpestrubot,17:10,2019-11-12,faltan dos nomas billetaje electronico
tpestrubot,17:8,2019-11-12,no entiendo pq sigo haciendo esto billetaje electronico
tpestrubot,17:8,2019-11-12,sadfasdfasdfsadfsadf billetaje electronico 5
tpestrubot,17:8,2019-11-12,llenando la lista de billetaje electronico 3
tpestrubot,17:7,2019-11-12,llenando la lista de billetaje electronico 2
tpestrubot,17:7,2019-11-12,llenando la lista de billetaje electronico 1
GracielaArceD,16:51,2019-11-12,RT @javierpanza: Ley de pasaje gratuito para personas ciegas y un acompañante está vigente. Hoy, reciben su tarjeta para el billetaje elect…
LumyDj,16:46,2019-11-12,RT @PedroDBritos: Hoy es un día muy especial para el Sistema de Billetaje Electrónico! Iniciamos el censo a los Discapacitados no videntes…
micammendoza,16:34,2019-11-12,RT @PedroDBritos: Hoy es un día muy especial para el Sistema de Billetaje Electrónico! Iniciamos el censo a los Discapacitados no videntes…
fernandoSP81,16:27,2019-11-12,RT @Universo970py: #Móvil970 @crismarpy | Realizan una recopilación de datos para la entrega de las tarjetas del billetaje electrónico a pe…
drunkensnake_,16:25,2019-11-12,Demasiado quiero entender que tiene que ver el tereré con usar el billetaje electrónico. https://t.co/wnyRgmEf6w
RHermozaCardozo,16:25,2019-11-12,RT @javierpanza: Ley de pasaje gratuito para personas ciegas y un acompañante está vigente. Hoy, reciben su tarjeta para el billetaje elect…
yasy73,16:23,2019-11-12,RT @PedroDBritos: Hoy es un día muy especial para el Sistema de Billetaje Electrónico! Iniciamos el censo a los Discapacitados no videntes…
gladysgulino,16:23,2019-11-12,RT @PedroDBritos: Hoy es un día muy especial para el Sistema de Billetaje Electrónico! Iniciamos el censo a los Discapacitados no videntes…
OviedoFidel,16:16,2019-11-12,RT @PedroDBritos: Hoy es un día muy especial para el Sistema de Billetaje Electrónico! Iniciamos el censo a los Discapacitados no videntes…
m_centeno85,16:12,2019-11-12,RT @PedroDBritos: Hoy es un día muy especial para el Sistema de Billetaje Electrónico! Iniciamos el censo a los Discapacitados no videntes…
Alejanvillalba,16:0,2019-11-12,Hoy viaje en la puerta trasera del colectivo.Pero eyyy! pague con billetaje electrónico #cyberpunkpy
sritaPato,15:32,2019-11-12,RT @javierpanza: Ley de pasaje gratuito para personas ciegas y un acompañante está vigente. Hoy, reciben su tarjeta para el billetaje elect…
noticiaspycom,15:23,2019-11-12,https://t.co/PCX4lTXhnV
atozucco,15:14,2019-11-12,RT @PedroDBritos: Hoy es un día muy especial para el Sistema de Billetaje Electrónico! Iniciamos el censo a los Discapacitados no videntes…
noticiaspycom,15:11,2019-11-12,Billetaje Electrónico disponible desde hoy para personas con discapacidad visual https://t.co/AOYPAqxWTZ https://t.co/hc2LlWFvy5
Andres_Mareco,14:55,2019-11-12,RT @PedroDBritos: Hoy es un día muy especial para el Sistema de Billetaje Electrónico! Iniciamos el censo a los Discapacitados no videntes…
CNMMERCOSUL,14:50,2019-11-12,RT @PedroDBritos: Hoy es un día muy especial para el Sistema de Billetaje Electrónico! Iniciamos el censo a los Discapacitados no videntes…
rnpy951fm,14:43,2019-11-12,@senadispy lanzó  hoy #BilletajeElectrónico para personas con discapacidad visual, que está  disponible desde hoy c… https://t.co/jO7uv978Yg
JTRGMS,14:39,2019-11-12,RT @PedroDBritos: Hoy es un día muy especial para el Sistema de Billetaje Electrónico! Iniciamos el censo a los Discapacitados no videntes…
MagnoLinea12,14:38,2019-11-12,RT @PedroDBritos: Hoy es un día muy especial para el Sistema de Billetaje Electrónico! Iniciamos el censo a los Discapacitados no videntes…
hector_rubin,14:35,2019-11-12,RT @PedroDBritos: Hoy es un día muy especial para el Sistema de Billetaje Electrónico! Iniciamos el censo a los Discapacitados no videntes…
JahaTarjeta,14:35,2019-11-12,RT @PedroDBritos: Hoy es un día muy especial para el Sistema de Billetaje Electrónico! Iniciamos el censo a los Discapacitados no videntes…
ANIBALCORO,14:30,2019-11-12,#EnPositivo https://t.co/Xo2mceFREX
mastarjetapy,14:30,2019-11-12,RT @PedroDBritos: Hoy es un día muy especial para el Sistema de Billetaje Electrónico! Iniciamos el censo a los Discapacitados no videntes…
ParaguayTVHD,14:28,2019-11-12,RT @PedroDBritos: Hoy es un día muy especial para el Sistema de Billetaje Electrónico! Iniciamos el censo a los Discapacitados no videntes…
amalmiron,14:28,2019-11-12,RT @PedroDBritos: Hoy es un día muy especial para el Sistema de Billetaje Electrónico! Iniciamos el censo a los Discapacitados no videntes…
PedroDBritos,14:26,2019-11-12,Hoy es un día muy especial para el Sistema de Billetaje Electrónico! Iniciamos el censo a los Discapacitados no vid… https://t.co/n5ZUT7n6Ob
Sofybernasconi1,14:10,2019-11-12,RT @closetojulio: SE ME ROBO MI DINERO pero por suerte tengo el billetaje electrónico para el bus 🤫https://t.co/5V3ubP3JrQ
Universo970py,14:6,2019-11-12,RT @SomosGEN: #2EnLaCiudad | @crismarpyCésar Martínez, ministro de @senadispy, sobre la recopilación de datos para entrega del billetaje…
SomosGEN,14:4,2019-11-12,#2EnLaCiudad | @crismarpyCésar Martínez, ministro de @senadispy, sobre la recopilación de datos para entrega del… https://t.co/QXY5BE1D2N
PalomaForte,14:1,2019-11-12,RT @javierpanza: Ley de pasaje gratuito para personas ciegas y un acompañante está vigente. Hoy, reciben su tarjeta para el billetaje elect…
Holmesence,14:1,2019-11-12,RT @Universo970py: #Móvil970 @crismarpy | Realizan una recopilación de datos para la entrega de las tarjetas del billetaje electrónico a pe…
ro_ba_,14:0,2019-11-12,RT @javierpanza: Ley de pasaje gratuito para personas ciegas y un acompañante está vigente. Hoy, reciben su tarjeta para el billetaje elect…
fermin_berrios,13:58,2019-11-12,RT @LaNacionPy: Hoy se realiza la presentación y entrega del Billetaje Electrónico a las personas con discapacidad visual en la sede centra…
SomosGEN,13:57,2019-11-12,RT @Universo970py: #Móvil970 @crismarpy | Realizan una recopilación de datos para la entrega de las tarjetas del billetaje electrónico a pe…
Universo970py,13:56,2019-11-12,@crismarpy @SomosGEN @senadispy "Para acceder al billetaje electrónico, la persona debe contar con su carnet de dis… https://t.co/HnCwABvJL7
Universo970py,13:53,2019-11-12,#Móvil970 @crismarpy | Realizan una recopilación de datos para la entrega de las tarjetas del billetaje electrónico… https://t.co/lZvhjcjwet
LaNacionPy,13:52,2019-11-12,Hoy se realiza la presentación y entrega del Billetaje Electrónico a las personas con discapacidad visual en la sed… https://t.co/s8LpDYWopI
larazoncom,13:48,2019-11-12,Personas con discapacidad visual acceden desde hoy a billetaje electrónico https://t.co/7h5OAAfMi3
zaidaorue,13:31,2019-11-12,RT @javierpanza: Ley de pasaje gratuito para personas ciegas y un acompañante está vigente. Hoy, reciben su tarjeta para el billetaje elect…
closetojulio,13:24,2019-11-12,SE ME ROBO MI DINERO pero por suerte tengo el billetaje electrónico para el bus 🤫https://t.co/5V3ubP3JrQ
ParaguayTVHD,13:21,2019-11-12,Billetaje Electrónico disponible desde hoy para personas con discapacidad visual https://t.co/JIN8g54KSi https://t.co/LhYs9MLuu0
